anr;datum;titel_off_d;rechtsform;d1e1;d1e2;d1e3;d2e1;d2e2;d2e3;d3e1;d3e2;d3e3;dep;br-pos;legislatur;legisjahr;bv-pos;nr-pos;nrja;nrnein;sr-pos;srja;srnein;urheber;p-fdp;p-sps;p-svp;p-mitte;p-evp;p-gps;p-glp;p-ucsp;p-pda;p-sd;p-edu;p-fps;p-lega;p-kvp;p-mcg;p-cvp;p-bdp;p-lps;p-ldu;p-poch;p-rep;p-eco;p-sgv;p-sbv;p-sgb;p-travs;p-sav;p-vsa;p-vpod;p-voev;p-tcs;p-vcs;p-acs;p-sbk;p-ssv;p-gem;p-kdk;p-kkjpd;p-gdk;p-ldk;p-vdk;p-sodk;p-endk;p-fdk;p-edk;p-bpuk;nr-wahl;w-fdp;w-sp;w-svp;w-mitte;w-evp;w-gps;w-glp;w-csp;w-pda;w-sd;w-edu;w-fps;w-lega;w-kvp;w-mcg;w-cvp;w-bdp;w-lps;w-ldu;w-poch;w-rep;w-ubrige;ja-lager;nein-lager;keinepar-summe;leer-summe;freigabe-summe;unbekannt-summe;neutral-summe;volk;stand;annahme;berecht;stimmen;bet;leer;ungultig;gultig;volkja;volknein;volkja-proz;kt-ja;kt-nein;ktjaproz
1;12.09.1848;Totalrevision vom 12. September 1848;1;1;1.2;1.21;1;1.5;1.52;.;.;.;.;3;1;1848-1851;3;3;.;.;3;.;.;.;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;1;1;.;.;.;.;.;199904;145584;54320;72.83;15.5;6.5;70.45
2;14.01.1866;Festsetzung von Mass und Gewicht;1;1;1.5;1.52;.;.;.;.;.;.;.;.;6;1863-1866;1;1;.;.;1;.;.;.;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;0;0;.;.;.;.;.;315578;159182;156396;50.44;9.5;12.5;43.18
3;14.01.1866;Gleichstellung der Juden und Naturalisierten mit Bezug auf Niederlassung;1;12;12.3;.;1;1.6;1.62;1;1.5;1.52;3;.;6;1863-1866;1;1;.;.;1;.;.;.;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;1;1;.;.;.;.;.;319433;170032;149401;53.23;12.5;9.5;56.82
4;14.01.1866;Stimmrecht der Niedergelassenen in Gemeindeangelegenheiten;1;1;1.4;1.43;1;1.6;1.62;1;1.5;1.52;.;.;6;1863-1866;1;1;.;.;1;.;.;.;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;0;0;.;.;.;.;.;318762;137321;181441;43.08;8;14;36.36
5;14.01.1866;Besteuerung und zivilrechtliche Verhältnisse der Niedergelassenen;1;6;6.1;6.12;1;1.6;1.62;1;1.5;1.52;.;.;6;1863-1866;1;1;.;.;1;.;.;.;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;0;0;.;.;.;.;.;315754;125924;189830;39.88;9;13;40.91
6;14.01.1866;Stimmrecht der Niedergelassenen in kantonalen Angelegenheiten;1;1;1.4;1.43;1;1.6;1.62;1;1.5;1.52;.;.;6;1863-1866;1;1;.;.;1;.;.;.;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;0;0;.;.;.;.;.;319148;153469;165679;48.09;10;12;45.45
7;14.01.1866;Glaubens- und Kultusfreiheit;1;12;12.3;.;1;1.6;1.62;.;.;.;.;.;6;1863-1866;1;1;.;.;1;.;.;.;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;0;0;.;.;.;.;.;320621;157629;162992;49.16;11;11;50.00
8;14.01.1866;Ausschliessung einzelner Strafarten;1;1;1.6;1.65;1;1.5;1.52;1;1.6;1.62;.;.;6;1863-1866;1;1;.;.;1;.;.;.;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;0;0;.;.;.;.;.;316983;108364;208619;34.19;6.5;15.5;29.55
9;14.01.1866;Schutz des geistigen Eigentums;1;4;4.1;4.12;12;12.1;.;1;1.5;1.52;.;.;6;1863-1866;1;1;.;.;1;.;.;.;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;0;0;.;.;.;.;.;314862;137476;177386;43.66;9.5;12.5;43.18
10;14.01.1866;Verbot der Lotterie und Hasardspiele;1;4;4.1;4.13;4;4.4;4.43;.;.;.;.;.;6;1863-1866;1;1;.;.;1;.;.;.;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;0;0;.;.;.;.;.;315850;139062;176788;44.03;9.5;12.5;43.18
